UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,YSLIFO7U,M,298.1,308.6,1551.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,G5AIQWJK,L,298.2,308.7,1408.0,46.3,3.0,,0.0,0.0,0.0,,0.0
3,RRCROMQQ,L,,308.5,1498.0,49.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,LSRXCBBX,L,,308.6,1433.0,39.5,7.0,0.0,0.0,,,,
5,WX8CE3B8,L,298.2,308.7,1408.0,40.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
6,AEKNJJ1R,M,298.1,308.6,,,11.0,0.0,,,0.0,0.0,0.0
7,AEKNJJ1R,L,298.1,,1558.0,42.4,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ZLNM5UXX,L,298.1,308.6,1527.0,40.2,16.0,0.0,0.0,0.0,0.0,0.0,0.0
9,G5AIQWJK,M,,308.7,1667.0,28.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3HURBGV7,M,298.5,309,1741.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
11,JT4UYCMS,H,298.4,308.9,1782.0,23.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FPIVWX8Z,H,298.6,309.1,1423.0,44.3,29.0,,0.0,0.0,0.0,0.0,0.0
13,G5AIQWJK,M,298.6,309.1,1339.0,51.1,34.0,0.0,0.0,0.0,0.0,,0.0
14,AEKNJJ1R,M,298.6,,1742.0,30.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
15,XWW2WAV6,L,298.6,309.2,2035.0,19.6,40.0,0.0,0.0,0.0,0.0,0.0,0.0
16,JT4UYCMS,L,298.6,309.2,1542.0,48.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0
17,JT4UYCMS,M,298.6,309.2,1311.0,46.6,44.0,0.0,0.0,0.0,0.0,0.0,0.0
18,3HURBGV7,M,298.7,,,45.6,47.0,0.0,0.0,0.0,0.0,0.0,0.0
19,LSRXCBBX,H,,309.2,1306.0,,50.0,,0.0,0.0,0.0,0.0,0.0
20,0KXKNHFG,M,298.9,309.3,1632.0,32.5,55.0,,0.0,0.0,0.0,0.0,
21,WX8CE3B8,H,298.9,,1375.0,42.7,58.0,0.0,0.0,0.0,0.0,0.0,0.0
22,FPIVWX8Z,L,298.8,309.3,,44.8,63.0,0.0,0.0,0.0,0.0,0.0,0.0
